Title of debate,Date,Members,Classification,Year
Pollution in Cities,6/21/2019,Ajay Misra (TENI),,2019
Plantation of Trees,6/21/2019,Kirit Premjibhai Solanki,,2019
Electronic Waste,6/21/2019,Deepak Baij,,2019
Poaching and Trafficking of Wildlife,6/21/2019,Suresh Kodikunnil,,2019
Environmental Clearance for Industrial Projects,6/21/2019,Gopal Chinayya Shettya,,2019
Diversion of Reserved Forest Land for Road Construction,6/21/2019,Kanakmal Katara,,2019
Protection of Wild Animals from Road Accidents,6/21/2019,Doddaalahalli Kempegowda Suresh,,2019
Bannerghatta National Park,6/21/2019,Kaushal Kishore,,2019
Planting of Trees in Institutions of Higher Learning,6/21/2019,Pushpendra Singh Chandel,,2019
Awareness of Environmental Issue,6/21/2019,Asaduddin Owaisi,,2019
Utilization of fly ash from power plants,6/21/2019,Balashowry Vallabbhaneni,,2019
National Mission for Green India,6/21/2019,Parvesh Sahib SinghRahul Kaswan,,2019
Air Pollution in Delhi,6/21/2019,Rahul Ramesh ShewaleBhartruhari Mahtab,,2019
e-Waste,6/21/2019,Meenakshi Lekhi,,2019
Violation of Environmental Regulations by Manufacturing Industries,6/21/2019,Jagdambika Pal,,2019
Problem of Climate Change,6/21/2019,Mukesh Rajput,,2019
Zoological Park on Unused Land,02/08/19,Ramachandran Mullappally,,2019
Environmental Clearance for Construction of New Dams,02/08/19,Kamla Devi Patle,,2019
Forest Cover,02/08/19,Balasubramaniam Senguttuvan,,2019
Jallikattu,02/08/19,Kulamani Samal,,2019
Air Pollution Levels,02/08/19,S. RajendranGajanan Chandrakant KirtikarKunwar Haribansh SinghSudheer Gupta,,2019
Terror of Monkeys,02/08/19,Jagdambika Pal,,2019
Transfer of Asiatic Lions,02/08/19,Nihal Chand Chauhan,,2019
Impact of Climate Change,02/08/19,Ponguleti Srinivasa Reddy,,2019
Waste Management,02/08/19,Rajendra Agrawal,,2019
National Action Plan on Climate Change,02/08/19,Om Birla,,2019
Deforestation,02/08/19,Anil ShiroleGeorge BakerParbhubhai Nagarbhai Vasava,,2019
SECURE Project,02/08/19,M. Chandrakasi,,2019
Endangered Bird Species,02/08/19,Parvesh Sahib Singh,,2019
Maintenance of Livestock,02/08/19,Anoop Mishra,,2019
Forest Cover in Urban Areas,02/08/19,Sanjay (Kaka) Ramchandra Patil,,2019
Cleaning of Polluted Rivers in Maharashtra,02/08/19,C.N. Jayadevan,,2019
Environment Clearance for Real Estate Projects,02/08/19,Santokh Singh Chaudhary,,2019
Deaths due to Extreme Weather Events,02/08/19,Manoj Kumar Tiwari,,2019
Pollution by Generators,02/08/19,Doddaalahalli Kempegowda SureshNalin Kumar Kateel,,2019
Mitigating Greenhouse Effect by Organic Agriculture,02/08/19,Chandra Prakash Joshi,,2019
Level of Particulate Matter in Air,02/08/19,Parasuraman K.,,2019
Identification of Polluted Rivers,02/08/19,Kirti (Jha) AzadRamesh Chander Kaushik,,2019
Funds Released under Various Schemes,02/08/19,Bhagwanth Khuba,,2019
Environmental Pollution,02/08/19,Ravneet Singh,,2019
Reduction in Air Pollution,02/08/19,Kirit Somaiya,,2019
Report of Dr. Shailesh Nayak Committee,02/08/19,Bidyut Baran MahatoNaranbhai KachhadiaPrabhatsinh Pratapsinh Chauhan,,2019
Targets under Various Schemes,02/08/19,Pinaki Misra,,2019
Death of Elephants due to Train Accidents,02/08/19,S.P. Muddahanumegowda,,2019
Diversion of Forest Land,02/08/19,T.G. Venkatesh Babu,,2019
Environmental Clearance for Projects,02/08/19,Ramachandran Mullappally,,2019
Conservation of Western Ghats,02/08/19,Saugata Roy,,2019
Fines Imposed by National Green Tribunal,02/08/19,Raksha Nikhil Khadse,,2019
Irregularities in National Zoo Park,02/08/19,Ravindra Kumar Pandey,,2019
Effects of Climate Change,02/08/19,Gopal Chinayya Shetty,,2019
Environmental Clearance for Metro Project,02/08/19,Arjunlal Meena,,2019
Development of Ayad River,02/08/19,Rahul Ramesh ShewaleBhartruhari MahtabSanjay Shamrao Dhotre,,2019
Surface Water Pollution,02/08/19,Maheish Girri,,2019
Bamboo Cultivation,02/08/19,Joice GeorgeC. Mahendran,,2019
Eco Sensitive Areas,02/08/19,Gajanan Chandrakant KirtikarKunwar Haribansh SinghS. RajendranSudheer GuptaT. RadhakrishnanVijay Kumar S.R.,,2019
Death of Elephants,02/08/19,Kanwar Singh Tanwar,,2019
Ground Water Pollution,02/08/19,Poonam Mahajan,,2019
Great Indian Bustard,02/08/19,P.K. Biju,,2019
Impact of Climate Change on Eco-Systems,02/08/19,Radheshyam Biswas,,2019
Green India Mission,02/08/19,Ajay Misra (TENI)Anju BalaBharat SinghShivaramagoudaShobha KarandlajeTejpratap Singh Yadav,,2019
National Clean Air Programme,02/08/19,Gowdar Mallikarjunappa SiddheswaraRanjanben Bhatt,,2019
Death due to Air Pollution,02/08/19,Ashok Mahadeorao NeteSavitri Thakur,,2019
Conservation of Forest,01/04/19,Bodh Singh Bhagat,,2019
Forest Land,01/04/19,Rahul Kaswan,,2019
Cutting of Trees,01/04/19,Anto Antony,,2019
Green Skill Development Programme,01/04/19,Rajiv Pratap Rudy,,2019
Biodiversity Rich Islands,01/04/19,Joice George,,2019
Climate Change Conference,01/04/19,Santokh Singh Chaudhary,,2019
Cleaning of Rivers,01/04/19,Boora Narsaiah Goud,,2019
Vegetation Cover,01/04/19,Anju BalaShivaramagoudaTejpratap Singh Yadav,,2019
Conservation of Endangered Species,01/04/19,Hari Manjhi,,2019
E-Waste with Power Companies,01/04/19,Kamakhya Prasad Tasa,,2019
Kaziranga National Park,01/04/19,Nagendra Kumar Pradhan,,2019
Environment Norms,01/04/19,Chandrakant Bhaurao Khaire,,2019
Licences to run Zoo,01/04/19,Ganesh Singh,,2019
Dust Pollution by Cement Plants,01/04/19,Maheish Girri,,2019
National Forest Policy,01/04/19,Raksha Nikhil Khadse,,2019
National Zoological Park,01/04/19,Laxman Giluwa,,2019
Pollution of Waterfalls in Jharkhand,01/04/19,Kanwar Singh Tanwar,,2019
Wildlife Sanctuaries,01/04/19,Rahul Kaswan,,2019
Attack by Tigers,01/04/19,Mansukhbhai Dhanjibhai Vasava,,2019
Forest Village in Gujarat,01/04/19,Rita Tarai,,2019
Satkosia Tiger Reserve,01/04/19,Ering NinongKirron Kher,,2019
Compensatory Afforestation Fund Act,01/04/19,Om Birla,,2019
Forest Rights Act,01/04/19,Ratna De (Nag)Hari Om PandeyManoj Kumar Tiwari,,2019
Use of Unused/Barron Lands for Renewable Power Generation,01/04/19,Anto Antony,,2019
PARIVESH,01/04/19,Konda Vishweshwar ReddyFeroze Varun Gandhi,,2019
Ban on Plastics,01/04/19,Saugata Roy,,2019
Vedanta Plant in Tamil Nadu,01/04/19,Ravindra Vishwanath Gaikwad,,2019
Population of Tigers,01/04/19,Kalikesh Narayan Singh Deo,,2019
Generation of Waste,01/04/19,Narendra Keshav Sawaikar,,2019
Targets of Climate Change,01/04/19,Arjunlal Meena,,2019
Rejuvenation of Ayad River,01/04/19,Rajesh Kumar Diwakar,,2019
Snow Leopard,01/04/19,Nagendra Pratap Singh Patel,,2019
Deaths due to Pollution,01/04/19,Jyotiraditya Madhavrao Scindia,,2019
Disposal of Toxic Waste,01/04/19,Sanjay Haribhau Jadhav,,2019
Implementation of Paris Pact,01/04/19,B.V. Nayak,,2019
Destruction of Wild Life Habitats,01/04/19,Rajesh Ranjan (Pappu Yadav)Ranjeet Ranjan,,2019
Deforestation,01/04/19,Laxmi Narayan Yadav,,2019
Implementation of Rules Relating to Pollution,01/04/19,M.B. Rajesh,,2019
Environmental Risks with Renewable Energy Projects,01/04/19,P.K. Biju,,2019
National Action Plan on Climate Change,01/04/19,Anandrao Vithoba AdsulDharmendra YadavPushpendra Singh ChandelPritam Gopinath MundeShrikant Eknath ShindeVinayak Bhaurao Raut,,2019
National Clean Air Programme,01/04/19,Bharatendra SinghPrathap SimhaShobha Karandlaje,,2019
Increase in Forest Cover,01/04/19,Ramesh Pokhriyal NishankKirti Vardhan SinghR. Dhruvanarayana,,2019
Forest Fire,01/04/19,Krishnan Narayansamy RamachandranKaushalendra Kumar,,2019
Toxic Air,01/04/19,Devusinh Jesingbhai Chauhan,,2019
Co-processing of Wastes,01/04/19,Manshankar Ninama,,2019
Harit Bharat Mission,12/28/2018,Maulana Badruddin Ajmal,,2018
Protection of Taj Mahal,12/28/2018,M. Chandrakasi,,2018
Green Crackers,12/28/2018,M. Udhayakumar,,2018
Forest Fires,12/28/2018,Bhairon Prasad Mishra,,2018
Ban on Polythene,12/28/2018,J. Jayasingh Thiyagaraj Natterjee,,2018
Low Carbon Rural Development,12/28/2018,Nalin Kumar Kateel,,2018
Paris Climate Agreement,12/28/2018,Rita Tarai,,2018
Environment Clearance,12/28/2018,Nagendra Kumar PradhanBalabhadra MajhiOm BirlaRamdas Chandrabhanji TadasRita Tarai,,2018
CAMPA,12/28/2018,Venkateswara Rao Magantti,,2018
Vapour Recovery Systems in Petrol Bunks,12/28/2018,M.K. RagahvanR.P. Marutharajaa,,2018
Climate Change,12/28/2018,Sriram Malyadri,,2018
Air Pollution Complaints,12/28/2018,Sanjay Jaiswal,,2018
Pollution in Rivers,12/28/2018,Rajiv Pratap Rudy,,2018
Solid Waste,12/28/2018,Laxmi Narayan Yadav,,2018
Menace of Monkeys and Dogs,12/28/2018,Ravindra Vishwanath Gaikwad,,2018
Swachh Bharat Abhiyan in Forest Areas,12/28/2018,P.R. SundaramDhananjay Bhimrao MahadikHeena Vijaykumar GavitJayakumar JayavardhanRajeev Shankarrao SatavSupriya SuleVijaysinh Mohite Patil,,2018
Lion Safaris,12/28/2018,Ramcharan BoharaBharati Dhirubhai ShiyalKirti (Jha) Azad,,2018
Smog and Severe Pollution,12/28/2018,Shobha KarandlajePrathap Simha,,2018
Forest Fire,12/28/2018,Prem Singh ChandumajraParvesh Sahib Singh,,2018
Oil Spills,12/28/2018,Ering Ninong,,2018
Compensatory Afforestation Fund Act,12/28/2018,Farooq Abdullah,,2018
Conservation of Lakes,12/28/2018,Balasubramaniam Senguttuvan,,2018
Zoological Parks,12/28/2018,Khan Saumitra,,2018
Pollution in Damodar River,12/28/2018,Gokaraju Ganga Raju,,2018
Gangetic River Dolphins,12/28/2018,Kirti Vardhan Singh,,2018
Natural Park and Sanctuaries,12/28/2018,N. K. Premachandran,,2018
Deterioration of Forest,12/28/2018,Jyotiraditya Madhavrao ScindiaKamal NathT.G. Venkatesh Babu,,2018
Target of Reducing Air Pollution,12/28/2018,Hari Narayan Rajbhar,,2018
Environmental Clearance of Development Projects,12/28/2018,K. Maragatham,,2018
Environment Clearance for Thermal Power Plants,12/28/2018,Vasanthi M.,,2018
Poaching of Tigers and Rhinoceros,12/28/2018,P.C. Mohan,,2018
Diseases due to Air Pollution,12/28/2018,Ravneet Singh,,2018
Environment Clearance for Mining Projects,12/28/2018,Mohanbhai Kalyanjibhai Kundariya,,2018
Erosion of Coastal Land,12/28/2018,A.P. Jithender Reddy,,2018
Deaths due to Animals Attacks,12/28/2018,Muthamsetti Srinivasa Rao (Avnthi)),,2018
Paris Agreement on Climate Change,12/28/2018,Uday Pratap Singh,,2018
Plantation in the Private Sector,12/28/2018,Thokchom Meinya,,2018
Killing of Domestic Animals,12/28/2018,Dushyant Chautala,,2018
Preservation of Wetland,12/28/2018,Vishnu Dayal RamPushpendra Singh ChandelKuruppassery Varkey Thomas,,2018
Noise Pollution,12/28/2018,Balabhadra Majhi,,2018
Erosion of Coastline,12/28/2018,Kamla Devi Patle,,2018
Forest Land,12/28/2018,Vijay Kumar HansdakLaxman Giluwa,,2018
Illegal Felling of Trees,12/28/2018,Mallikarjun Kharge,,2018
Air Pollution,12/28/2018,Shrikant Eknath ShindeDharmendra YadavPritam Gopinath MundeShivaji Adhalrao PatilChandu Barne Shrirang,,2018
Forest Rights Act,12/28/2018,Shivkumar Chanabasappa UdasiAdhir Ranjan Chowdhury,,2018
COP-24 of UNFCCC,12/28/2018,Radheshyam Biswas,,2018
Loss of Animals and Birds,12/28/2018,R. Dhruvanarayana,,2018
Elephant Menace,12/28/2018,Balabhadra MajhiVijay Kumar Hansdak,,2018
Cutting of Trees,12/21/2018,Savitri Thakur,,2018
Climate Change,12/21/2018,Banshilal Mahto,,2018
Forest Land,12/21/2018,Ering Ninong,,2018
Impact of Climate Change,12/21/2018,Kalikesh Narayan Singh Deo,,2018
Environmental Pollution,12/21/2018,Rajesh Verma,,2018
Recycling of used Plastics,12/21/2018,Dinesh Kashyap,,2018
Environmental Performance Index,12/21/2018,Ravindra Vishwanath Gaikwad,,2018
Wild Animals,12/21/2018,Vincent H. Pala,,2018
Development Schemes in Forest Areas,12/21/2018,Lallu SinghRekha Arun Verma,,2018
Forest Officers,12/21/2018,Ajay Nishad,,2018
Migratory Birds,12/21/2018,Nagendra Kumar Pradhan,,2018
Translocation of Tigers,12/21/2018,Gajanan Chandrakant Kirtikar,,2018
Tiger/Wild Life Sanctuaries,12/21/2018,Prabhas Kumar Singh,,2018
Conservation of Tigers,12/21/2018,Nihal Chand Chauhan,,2018
Pollution in Gang Canal,12/21/2018,Abhishek Singh,,2018
Environmental Impact Assessment Notification,12/21/2018,Chandrakant Bhaurao Khaire,,2018
Effects of Pollution on Taj Mahal,12/21/2018,Hari Babu Kambhampati,,2018
Rehabilitation of Animals,12/21/2018,Pankaj Chowdhary,,2018
Plantation of Neem Tree,12/21/2018,Gopalkrishnan Chinnaraj,,2018
Destruction of Coral Reefs,12/21/2018,Rajeshbhai Naranbhai Chudasama,,2018
Damage by Wild Animals,12/21/2018,Sisir Kumar Adhikari,,2018
Aircraft to Study Air Pollution,12/21/2018,S. Selvakumara Chinnayan,,2018
Cleaning of Kaveri River,12/21/2018,Pushpendra Singh ChandelElumalai VellaigounderVasanthi M.,,2018
Forest Fires,12/21/2018,Vasanthi M.,,2018
Animals in Circus,12/21/2018,A.P. Jithender Reddy,,2018
National Environment Awareness Campaign,12/21/2018,Udit Raj,,2018
Waste Generated from Scrap Tyres,12/21/2018,Bharat Singh,,2018
Effects of Pollution,12/21/2018,Pratyusha Rajeshwari Singh,,2018
Threat to Coastal Villages,12/21/2018,Prem Das Rai,,2018
Study of Climate Change Issues,12/21/2018,Jugal Kishore Sharma,,2018
Rejuvenation of Tawi and Chenab Rivers,12/21/2018,Parasuraman K.,,2018
Wastes Accumulated in Indian Ocean Region,12/21/2018,Parvesh Sahib Singh,,2018
Disposal of Hazardous Industrial Waste into Rivers,12/21/2018,Anurag Singh Thakur,,2018
Study of Climate Change Effects,12/21/2018,Udit Raj,,2018
Felling of Trees,12/21/2018,Supriya SuleDhananjay Bhimrao MahadikHeena Vijaykumar GavitJayakumar JayavardhanP.R. SundaramRajeev Shankarrao SatavVijaysinh Mohite Patil,,2018
Central Asian Flyway Action Plan,12/21/2018,Prathap SimhaShobha Karandlaje,,2018
Integrated Development of Wildlife Habitats,12/21/2018,Ram Kumar SharmaDushyant ChautalaNishikant DubeyRajesh PandeyRavindra Kumar PandeySisir Kumar Adhikari,,2018
Deaths due to Air and Water Pollution,12/21/2018,Balasubramaniam Senguttuvan,,2018
Ecologically Sensitive Area,12/21/2018,Heman Tukaram Godse,,2018
Environmental Coastal Protection Projects,12/21/2018,Kotha Prabhakar ReddyM. UdhayakumarPoonamben Hematbhai Maadam,,2018
National Clean Air Programme,12/21/2018,P.K. Biju,,2018
Impact of Climate Change,12/21/2018,P.K.Shreemathi TeacherSuresh Kodikunnil,,2018
Impact of Climate Change,12/21/2018,Chintamani MalviyaBodh Singh Bhagat,,2018
Promotion of Plantation,12/21/2018,Manshankar NinamaKrishnan Narayansamy Ramachandran,,2018
Research on Pollution Level,12/21/2018,Devusinh Jesingbhai Chauhan,,2018
Girnar Ropeway,12/21/2018,Devusinh Jesingbhai Chauhan,,2018
Plastic Waste,12/21/2018,Rattan Lal Kataria,,2018
Leopard Deaths,12/14/2018,Abhishek Singh,,2018
Speedy Disposal of Environmental Clearance,12/14/2018,Pushpendra Singh Chandel,,2018
Environmental Issues,12/14/2018,Ajmal Sirajuddin,,2018
Bamboo Mission,12/14/2018,Prathap SimhaShobha Karandlaje,,2018
Management of Solid Waste,12/14/2018,Ajay Nishad,,2018
Villages in Forest Areas,12/14/2018,Anurag Singh Thakur,,2018
Effects of Climate Change on Himalayan Region,12/14/2018,M. Udhayakumar,,2018
Toxic Air,12/14/2018,R.P. Marutharajaa,,2018
Bamboo Cultivation,12/14/2018,Manshankar Ninama,,2018
Rehabilitation of Animals in Natural Habitats,12/14/2018,Shrirang Appa BarneAnandrao Vithoba AdsulDharmendra YadavPritam Gopinath MundeShivaji Adhalrao Patil,,2018
Environment Clearances for Thermal Power Plants,12/14/2018,T.G. Venkatesh BabuDinesh TrivediOm BirlaPoonam Mahajan,,2018
Air Pollution due to Stubble Burning,12/14/2018,Pankaj Chowdhary,,2018
Rise in Temperature,12/14/2018,Kirit Premjibhai Solanki,,2018
Asiatic Lion,12/14/2018,Bidyut Baran MahatoHari Om PandeyNaranbhai KachhadiaRamdas Chandrabhanji Tadas,,2018
Pollution by Generators,12/14/2018,Jitendra Chauhdury,,2018
Stubble Burning,12/14/2018,Pashupati Nath SinghRavindra Kumar RaySher Singh Ghubaya,,2018
Release of Industrial Wastes into Rivers,12/14/2018,Balasubramaniam Senguttuvan,,2018
Olive Ridley Turtles,12/14/2018,Heena Vijaykumar GavitDhananjay Bhimrao MahadikJayakumar JayavardhanP.R. SundaramRajeev Shankarrao SatavSupriya SuleVijaysinh Mohite Patil,,2018
Wild Animals,12/14/2018,P.K.Shreemathi Teacher,,2018
Demarcation of State Boundaries of Karnataka,12/14/2018,C.N. JayadevanRaksha Nikhil Khadse,,2018
Rejuvenation of Rivers,12/14/2018,P. Nagarajan,,2018
Implementation of National Clean Air Programme,12/14/2018,Kirit Somaiya,,2018
Coastal Regulation Zone,12/14/2018,R. Parthipan,,2018
Neela Kurinji,12/14/2018,Sunil Kumar SinghJitendra Chaudhary,,2018
Deaths due to Air Pollution,12/14/2018,Rajesh Kumar Diwakar,,2018
Management of e-Waste,12/14/2018,Joice George,,2018
Eco-Sensitive Areas of Western Ghats,12/14/2018,Rajeev Shankarrao SatavDhananjay Bhimrao MahadikHeena Vijaykumar GavitJayakumar JayavardhanP.R. SundaramSupriya SuleVijaysinh Mohite Patil,,2018
National Clean Air Programme,12/14/2018,Prabhas Kumar Singh,,2018
Sewage Treatment Plants,12/14/2018,Asaduddin Owaisi,,2018
Eco Sensitive Area,12/14/2018,Ashok Mahadeorao NeteNihal Chand Chauhan,,2018
Pollution in Rivers,12/14/2018,Rajeshbhai Naranbhai ChudasamaS.P. Muddahanumegowda,,2018
Forest Land,12/14/2018,Sriram Malyadri,,2018
Cyclone Resistant Trees,12/14/2018,Gopalkrishnan Chinnaraj,,2018
Environmental Clearance for Construction of Dams/Check Dams,12/14/2018,Sukhbir Singh JaunpuriaBanshilal MahtoLakhan Lal SahuSrinivas Kesineni,,2018
Environmental Clearance for Projects,12/14/2018,Mohanbhai Kalyanjibhai Kundariya,,2018
Electronic Waste,12/14/2018,Ering Ninong,,2018
Funds Allocated under CAMPA Schemes,12/14/2018,Shivkumar Chanabasappa Udasi,,2018
Incidents of Forest Fire,12/14/2018,C. Mahendran,,2018
Funds for Afforestation,12/14/2018,R. VanarojaP.R. SenthilnathanR.K. Bharathi MohanV.Sathyabama,,2018
Green Cover,12/14/2018,Sumedhanand SaraswatiAjay Misra (TENI)Bharat SinghChandra Prakash JoshiSantosh Ahlawat,,2018
Artificial Rain to Reduce Pollution Level,12/14/2018,R. DhruvanarayanaJagdambika Pal,,2018
Elephant Corridors as Eco-Sensitive Zones,12/14/2018,Sanjay Haribhau Jadhav,,2018
Kyoto Protocol,12/14/2018,G.Hari,,2018
Environmental Conditions for Construction of Buildings,12/14/2018,Krishnan Narayansamy RamachandranFeroze Varun Gandhi,,2018
Air Pollution,12/14/2018,Krishnan Narayansamy Ramachandran,,2018
Scientific Management of Waste,12/14/2018,Devusinh Jesingbhai Chauhan,,2018
Moratorium on Industrial Clusters,12/14/2018,Maheish Girri,,2018
Forest Fire,12/14/2018,Kirti Vardhan Singh,,2018
Deaths of Lions,12/14/2018,Ponnusamy Venugopal,,2018
Protection/Preservation of Cattle,08/08/17,Harishchandra Deoram ChavanMansukhbhai D. Vasava,,2017
Polluted River Stretches,08/08/17,Rajesh Verma,,2017
Pollution Caused by Dyeing Factories,08/08/17,Ninong Ering,,2017
CAMPA Scheme,08/08/17,Ashok Mahadeorao Nete,,2017
Forest Based Industries,08/08/17,Kalikesh Narayan Singh Deo,,2017
Inspection of Pollution,08/08/17,Feroze Varun Gandhi,,2017
Integrated Forest Conservation Scheme,08/08/17,V.Sathyabama,,2017
Mining Activities in Forest Areas,08/08/17,C.S. Puttaraju,,2017
Environmental Clearance,08/08/17,Bhagirath Prasad,,2017
Biosphere Reserve,08/08/17,Manoj Kumar Tiwari,,2017
Level of Pollution,08/08/17,Ganesh Singh,,2017
Plantation of Fruit Trees,08/08/17,Jayakumar JayavardhanVijaysinh Mohite PatilSupriya SuleSundar Lal Patwa,,2017
NGOs in Animal Welfare,08/08/17,Mohanbhai Kalyanjibhai Kundariya,,2017
Oil Spill,08/08/17,Rattan Lal Kataria,,2017
Implementation of Paris Agreement,08/08/17,M. K. RaghavanKirit Premjibhai Solanki,,2017
Cleaning of Rivers,08/08/17,Y. S. Avinash Reddy,,2017
Illegal Dumping of Waste,08/08/17,Doddaalahalli Kempegowda Suresh,,2017
Elephant Menace,08/08/17,M. ChandrakasiMeenakshi Lekhi,,2017
Protected Forest Areas,08/08/17,Sukender Reddy Gutha,,2017
Cow Slaughter,08/08/17,Anandrao Vithoba AdsulPritam Gopinath MundeShivaji Adhalrao PatilNagendra KumarShrikant Eknath ShindeChandu Barne ShrirangDharmendra Yadav,,2017
Tree Census,08/08/17,Ajay Misra (TENI),,2017
Shortage of Scientists,08/08/17,Ramachandran MullappallyKotha Prabhakar Reddy,,2017
Clearance for Airports,08/08/17,Kirit Somaiya,,2017
Zoo Safari,08/08/17,Natubhai Gomanbhai Patel,,2017
Increasing Green Cover,08/08/17,Dinesh Trivedi,,2017
Forest Policy,08/08/17,Meenakshi Lekhi,,2017
Afforestation,08/08/17,B.V. NayakT.G. Venkatesh Babu,,2017
Plantation Programme,08/08/17,Anto Antony,,2017
Prevention of Forest Fire,08/08/17,Kirit Premjibhai Solanki,,2017
Pollution Due to Commercial Units,08/08/17,Pinaki Misra,,2017
Polythene Bags,08/08/17,Uday Pratap Singh,,2017
Noise Pollution,08/08/17,P.K. Shreemathi Teacher,,2017
Survey Work in Reserve Forests,08/08/17,Devajibhai Govindbhai FateparaPrem Das Rai,,2017
Living Planet Report,08/08/17,Gopalakrishnan Chinnaraj,,2017
National Zoological Park,08/08/17,Kanwar Singh Tanwar,,2017
Disposal of e-Waste,08/08/17,Prathap Simha,,2017
Clearance for Port,08/08/17,Tamradhwaj Sahu,,2017
Tiger Reserves,08/08/17,Boora Narsaiah Goud,,2017
GM Mustard,08/08/17,Hari Babu Kambhampati,,2017
Conservation of Lakes and Rivers,08/08/17,Sona Ram,,2017
Conservation of Community Property,08/08/17,Kapil Moreshwar Patil,,2017
Solid Waste Management,08/08/17,M.I. Shanavas,,2017
Biodiversity Management Committees,08/08/17,Riti Pathak,,2017
Development of National Parks/ Sanctuaries,08/08/17,Narendra Keshav Sawaikar,,2017
Cooperation on Global Warming,08/08/17,Sanjay Shamrao DhotreRahul Ramesh ShewaleSatyapal Singh (Sambhal),,2017
Pollution Standards for Rivers,08/08/17,Ramesh Pokhriyal Nishank,,2017
Research on Himalayas,08/08/17,Manoj Rajoria,,2017
Non-Forest Areas,08/08/17,Alok Sanjar,,2017
Chinese Crackers,08/08/17,Rabindra Kumar Jena,,2017
Percentage of Forest Cover,08/08/17,Laxman Giluwa,,2017
Pollution by Fly-Ash,08/08/17,Ravindra Kushawaha,,2017
Tiger Population,08/08/17,Ramsinh Pataliyabhai Rathwa,,2017
Co-processing of Wastes,08/01/17,Kalikesh Narayan Singh Deo,,2017
Eco-Sensitive Zones,08/01/17,P. KumarBhairon Prasad MishraRamachandran MullappallyManshankar NinamaRayapati Sambasiva RaoLakhan Lal SahuJugal Kishore SharmaBharat Singh,,2017
Rejuvenation of Dying Rivers,08/01/17,Janardan Singh Sigriwal,,2017
Teak Trees,08/01/17,Bhagwanth KhubaSriram Malyadri,,2017
Untreated Sewage Water,08/01/17,Mohanbhai Kalyanjibhai Kundariya,,2017
Compact Fluorescent Lamps,08/01/17,Bhanu Pratap Singh Verma,,2017
Coastal Area of the Ganges,08/01/17,Kanwar Singh Tanwar,,2017
Tiger Deaths,08/01/17,Pushpendra Singh Chandel,,2017
Human-Wildlife Conflict,08/01/17,Manoj Kumar Tiwari,,2017
Poaching of One-Horn-Rhino,08/01/17,Devendra Singh Alias Bhole Singh,,2017
Fake Afforestation,08/01/17,Elumalai Vallaigounder,,2017
National Tiger Conservation Authority,08/01/17,Gowdar Mallikarjunappa Siddeshwara,,2017
Discharge of Untreated Sewage into Rivers,08/01/17,Ajay Misra (TENI),,2017
Pollution due to Carcinogenic Particles,08/01/17,Bodh Singh Bhagat,,2017
"Forest Protection Act, 1980",08/01/17,K. Maragatham,,2017
Tiger Reserves,08/01/17,E.T. Mohammad Bashir,,2017
GM Seeds,08/01/17,Parasuraman K.,,2017
Polluted Cities,08/01/17,Pratima Mondal,,2017
Emission from Coal Plants,08/01/17,Midhun Reddy,,2017
Paris Pact,08/01/17,Devusinh Jesingbhai Chauhan,,2017
Land Reserved for Forests,08/01/17,Dinesh Trivedi,,2017
Climate change in Himalayan Region,08/01/17,P.R. Senthilnathan,,2017
Endangered Species,08/01/17,Ravindra Kumar Ray,,2017
No Objection Certificate,08/01/17,Maheish Girri,,2017
Solid Waste Management,08/01/17,Ram Charitra,,2017
Closing of Tanneries,08/01/17,Ashwani Kumar,,2017
Destruction of Trees in Aravali,08/01/17,M. K. Raghavan,,2017
e-Waste,08/01/17,Rattan Lal KatariaC. Mahendran,,2017
Climate Change,08/01/17,Sushmita Dev,,2017
Kaziranga National Park,08/01/17,Janardan Mishra,,2017
Global Warming,08/01/17,Vinod Kumar BoianapalliJayakumar JayavardhanDhananjay Bhimrao MahadikVijaysinh Mohite PatilRajeev Shankarrao SatavSupriya Sule,,2017
National Centre for Sustainable Coastal Management,08/01/17,Krishnan Narayansamy Ramachandran,,2017
Illegal Cultivation on Forest Land,08/01/17,C. MahendranJayasingh Thiyagaraj Natterjee,,2017
Burning of Crop Residue,08/01/17,Rekha Arun Verma,,2017
Monitoring of Air Quality,08/01/17,Anto AntonyAshok Shankarrao ChavanSunil Baliram GaikwadSudheer GuptaGajanan Chandrakant KirtikarBidyut Baran MahatoT. RadhakrishnanVijay Kumar S.R.Kunwar Haribansh Singh,,2017
Van Mahotsav,7/25/2017,Anto AntonyDipsinh Shankarsinh Rathod,,2017
Forest Land,7/25/2017,Devji Patel,,2017
Global Temperature,7/25/2017,Ram Swaroop Sharma,,2017
Percentage of Forest Cover,7/25/2017,Hemant Tukaram Godse,,2017
Environmental/Wildlife Conservation Projects,7/25/2017,Rajeshbhai Naranbhai ChudasamaS.P. Muddahanumegowda,,2017
Tiger Population,7/25/2017,Chandu Lal Sahu,,2017
Environmental Clearance for Mines,7/25/2017,C.N. Jayadevan,,2017
Bauxite Mining in Niyamgiri Hills,7/25/2017,Abhishek Singh,,2017
Research on Sewage Treatment,7/25/2017,Ramcharan Bohra,,2017
Tiger Conservation,7/25/2017,Lakhan Lal Sahu,,2017
Villages in Forest Areas,7/25/2017,Anirudhan SampathRamdas Chandrabhanji TadasShashi Tharoor,,2017
